Tool_Name,User_Query,Intent_Details
SPECIAL_MEAL_PLAN_GENERATOR,what should i make for my anniversary dinner,Normal polite request
SPECIAL_MEAL_PLAN_GENERATOR,need a romantic dinner for two,Normal request
SPECIAL_MEAL_PLAN_GENERATOR,thanksgiving menu ideas please,Normal polite request
SPECIAL_MEAL_PLAN_GENERATOR,what to cook for a birthday party of 10,Normal request
SPECIAL_MEAL_PLAN_GENERATOR,give me a 3 course meal for valentines day,Normal request
SPECIAL_MEAL_PLAN_GENERATOR,christmas dinner but make it vegan,Normal constraint
SPECIAL_MEAL_PLAN_GENERATOR,i need a fancy meal to impress my boss,Normal request
SPECIAL_MEAL_PLAN_GENERATOR,mothers day brunch ideas,Normal request
SPECIAL_MEAL_PLAN_GENERATOR,what to make for super bowl sunday,Normal event request
SPECIAL_MEAL_PLAN_GENERATOR,need a graduation party menu,Normal event request
SPECIAL_MEAL_PLAN_GENERATOR,help me plan a baby shower menu,Normal request
SPECIAL_MEAL_PLAN_GENERATOR,easter dinner ideas no ham,Normal constraint
SPECIAL_MEAL_PLAN_GENERATOR,what should i bring to a potluck,Normal request
SPECIAL_MEAL_PLAN_GENERATOR,need a spooky menu for halloween,Normal thematic
SPECIAL_MEAL_PLAN_GENERATOR,friendsgiving food ideas,Normal slang event
SPECIAL_MEAL_PLAN_GENERATOR,need dat anniversary food bro,Slang casual
SPECIAL_MEAL_PLAN_GENERATOR,valentines day eats hook me up,Slang command
SPECIAL_MEAL_PLAN_GENERATOR,bday dinner vibes pls,Gen Z slang
SPECIAL_MEAL_PLAN_GENERATOR,what to cook to flex on my inlaws,Slang aggressive
SPECIAL_MEAL_PLAN_GENERATOR,need a thanksgiving spread that slaps,Slang positive
SPECIAL_MEAL_PLAN_GENERATOR,gimme that fancy date night grub,Slang casual
SPECIAL_MEAL_PLAN_GENERATOR,party food that doesnt suck,Slang blunt
SPECIAL_MEAL_PLAN_GENERATOR,im throwing a rager what food do i buy,Slang event
SPECIAL_MEAL_PLAN_GENERATOR,need xmas food rn,Slang urgent
SPECIAL_MEAL_PLAN_GENERATOR,hook a brother up with a dope nye menu,Slang polite
SPECIAL_MEAL_PLAN_GENERATOR,need bday food thx,Abbreviated slang
SPECIAL_MEAL_PLAN_GENERATOR,wuts 4 thanksgiving,Typo text speak
SPECIAL_MEAL_PLAN_GENERATOR,aniversary diner ideas,Typo
SPECIAL_MEAL_PLAN_GENERATOR,chrisms food pls,Heavy typo
SPECIAL_MEAL_PLAN_GENERATOR,birth day cake but helthy,Typo constraint
SPECIAL_MEAL_PLAN_GENERATOR,valintines day romantic snaks,Typo
SPECIAL_MEAL_PLAN_GENERATOR,how to mak a fancy meel,Typo
SPECIAL_MEAL_PLAN_GENERATOR,party snax for 20 ppl,Text speak
SPECIAL_MEAL_PLAN_GENERATOR,thnksgivng menue,Typo
SPECIAL_MEAL_PLAN_GENERATOR,wat to feed my fam on holidys,Typo
SPECIAL_MEAL_PLAN_GENERATOR,superb owl party food,Typo joke
SPECIAL_MEAL_PLAN_GENERATOR,make me a menu for my cats 3rd birthday party,Chaotic weird
SPECIAL_MEAL_PLAN_GENERATOR,what do i cook for my mortal enemy who is coming to dinner,Mischievous
SPECIAL_MEAL_PLAN_GENERATOR,i need a meal that says 'im sorry i crashed your car',Hyper-specific emotion
SPECIAL_MEAL_PLAN_GENERATOR,give me a 5 course meal made entirely of cheese for my wedding,Chaotic constraint
SPECIAL_MEAL_PLAN_GENERATOR,what to serve at a divorce party,Weird event
SPECIAL_MEAL_PLAN_GENERATOR,need food for a cult meeting idk just regular snacks,Chaotic edgy
SPECIAL_MEAL_PLAN_GENERATOR,how to cook a turkey using only a toaster for thanksgiving,Impossible task
SPECIAL_MEAL_PLAN_GENERATOR,my date is a vampire what do i serve,Troll request
SPECIAL_MEAL_PLAN_GENERATOR,i need a birthday cake that looks like a foot,Weird visual
SPECIAL_MEAL_PLAN_GENERATOR,give me a romantic meal that will make them propose immediately,Unrealistic goal
SPECIAL_MEAL_PLAN_GENERATOR,anniversary?,Short lazy
SPECIAL_MEAL_PLAN_GENERATOR,bday food go,Short command
SPECIAL_MEAL_PLAN_GENERATOR,thanksgiving.,One word
SPECIAL_MEAL_PLAN_GENERATOR,date night.,One word
SPECIAL_MEAL_PLAN_GENERATOR,party ideas.,Short lazy
